first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
29/03/2020,04/04/2020,50-54,Not Binary,0,0,0
29/03/2020,04/04/2020,50-54,Women,1806,104,0
29/03/2020,04/04/2020,55-59,Men,1338,154,0
29/03/2020,04/04/2020,55-59,Not Binary,0,0,0
29/03/2020,04/04/2020,55-59,Women,1659,140,0
29/03/2020,04/04/2020,60-64,Men,1295,142,0
29/03/2020,04/04/2020,60-64,Not Binary,0,0,0
29/03/2020,04/04/2020,60-64,Women,1293,111,0
29/03/2020,04/04/2020,65-69,Men,1025,123,0
29/03/2020,04/04/2020,65-69,Not Binary,0,0,0
29/03/2020,04/04/2020,65-69,Women,818,75,0
29/03/2020,04/04/2020,70-74,Men,655,83,0
29/03/2020,04/04/2020,70-74,Women,586,59,0
29/03/2020,04/04/2020,75-79,Men,356,50,0
29/03/2020,04/04/2020,75-79,Women,337,36,0
29/03/2020,04/04/2020,80+,Men,765,75,0
29/03/2020,04/04/2020,80+,Not Binary,0,0,0
29/03/2020,04/04/2020,80+,Women,1035,96,0
29/03/2020,04/04/2020,NULL,Men,553,23,0
29/03/2020,04/04/2020,NULL,Not Binary,97,0,0
29/03/2020,04/04/2020,NULL,Women,548,19,0
05/04/2020,11/04/2020,0-19,Men,3425,372,0
05/04/2020,11/04/2020,0-19,Not Binary,21,0,0
05/04/2020,11/04/2020,0-19,Women,2837,292,0
05/04/2020,11/04/2020,20-24,Men,2954,206,0
05/04/2020,11/04/2020,20-24,Not Binary,0,0,0
05/04/2020,11/04/2020,20-24,Women,2710,177,0
05/04/2020,11/04/2020,25-29,Men,2399,142,0
05/04/2020,11/04/2020,25-29,Not Binary,0,0,0
05/04/2020,11/04/2020,25-29,Women,2088,110,0
05/04/2020,11/04/2020,30-34,Men,2117,100,0
05/04/2020,11/04/2020,30-34,Not Binary,0,0,0
05/04/2020,11/04/2020,30-34,Women,1698,69,0
05/04/2020,11/04/2020,35-39,Men,1685,75,0
05/04/2020,11/04/2020,35-39,Not Binary,0,0,0
05/04/2020,11/04/2020,35-39,Women,1480,70,0
05/04/2020,11/04/2020,40-44,Men,1442,86,0
05/04/2020,11/04/2020,40-44,Not Binary,0,0,0
05/04/2020,11/04/2020,40-44,Women,1407,78,0
05/04/2020,11/04/2020,45-49,Men,1397,89,0
05/04/2020,11/04/2020,45-49,Not Binary,0,0,0
05/04/2020,11/04/2020,45-49,Women,1465,91,0
05/04/2020,11/04/2020,50-54,Men,1212,72,0
05/04/2020,11/04/2020,50-54,Not Binary,0,0,0
05/04/2020,11/04/2020,50-54,Women,1357,80,0
05/04/2020,11/04/2020,55-59,Men,1135,77,0
05/04/2020,11/04/2020,55-59,Not Binary,0,0,0
05/04/2020,11/04/2020,55-59,Women,1238,75,0
05/04/2020,11/04/2020,60-64,Men,1010,69,0
05/04/2020,11/04/2020,60-64,Not Binary,0,0,0
05/04/2020,11/04/2020,60-64,Women,964,50,0
05/04/2020,11/04/2020,65-69,Men,788,63,0
05/04/2020,11/04/2020,65-69,Not Binary,0,0,0
05/04/2020,11/04/2020,65-69,Women,753,47,0
05/04/2020,11/04/2020,70-74,Men,620,34,0
05/04/2020,11/04/2020,70-74,Not Binary,0,0,0
05/04/2020,11/04/2020,70-74,Women,590,35,0
05/04/2020,11/04/2020,75-79,Men,395,20,0
05/04/2020,11/04/2020,75-79,Women,445,29,0
05/04/2020,11/04/2020,80+,Men,884,48,0
05/04/2020,11/04/2020,80+,Not Binary,0,0,0
05/04/2020,11/04/2020,80+,Women,1705,92,25
05/04/2020,11/04/2020,NULL,Men,541,26,0
05/04/2020,11/04/2020,NULL,Not Binary,141,0,0
05/04/2020,11/04/2020,NULL,Women,435,18,0
12/04/2020,18/04/2020,0-19,Men,4228,356,0
12/04/2020,18/04/2020,0-19,Not Binary,22,0,0
12/04/2020,18/04/2020,0-19,Women,3799,412,0
12/04/2020,18/04/2020,20-24,Men,3336,168,0
12/04/2020,18/04/2020,20-24,Not Binary,0,0,0
12/04/2020,18/04/2020,20-24,Women,2929,158,0
12/04/2020,18/04/2020,25-29,Men,3043,104,0
12/04/2020,18/04/2020,25-29,Not Binary,0,0,0
12/04/2020,18/04/2020,25-29,Women,2723,95,0
12/04/2020,18/04/2020,30-34,Men,2634,73,0
12/04/2020,18/04/2020,30-34,Not Binary,0,0,0
12/04/2020,18/04/2020,30-34,Women,2428,77,0
12/04/2020,18/04/2020,35-39,Men,2222,69,0
12/04/2020,18/04/2020,35-39,Not Binary,0,0,0
12/04/2020,18/04/2020,35-39,Women,2186,61,0
12/04/2020,18/04/2020,40-44,Men,2018,59,0
12/04/2020,18/04/2020,40-44,Not Binary,0,0,0
12/04/2020,18/04/2020,40-44,Women,2225,75,0
12/04/2020,18/04/2020,45-49,Men,1931,77,0
12/04/2020,18/04/2020,45-49,Not Binary,0,0,0
12/04/2020,18/04/2020,45-49,Women,2311,92,0
12/04/2020,18/04/2020,50-54,Men,1706,76,0
12/04/2020,18/04/2020,50-54,Not Binary,0,0,0
12/04/2020,18/04/2020,50-54,Women,2078,70,0
12/04/2020,18/04/2020,55-59,Men,1559,53,0
12/04/2020,18/04/2020,55-59,Women,2012,51,0
12/04/2020,18/04/2020,60-64,Men,1523,43,0
12/04/2020,18/04/2020,60-64,Not Binary,0,0,0
12/04/2020,18/04/2020,60-64,Women,1704,44,0
12/04/2020,18/04/2020,65-69,Men,1188,42,0
12/04/2020,18/04/2020,65-69,Not Binary,0,0,0
12/04/2020,18/04/2020,65-69,Women,1278,32,0
12/04/2020,18/04/2020,70-74,Men,1063,27,0
12/04/2020,18/04/2020,70-74,Not Binary,0,0,0
12/04/2020,18/04/2020,70-74,Women,1282,38,0
12/04/2020,18/04/2020,75-79,Men,792,19,0
12/04/2020,18/04/2020,75-79,Not Binary,0,0,0
12/04/2020,18/04/2020,75-79,Women,1057,26,0
12/04/2020,18/04/2020,80+,Men,2438,43,18
12/04/2020,18/04/2020,80+,Not Binary,0,0,0
12/04/2020,18/04/2020,80+,Women,5754,78,26
12/04/2020,18/04/2020,NULL,Men,797,34,0
12/04/2020,18/04/2020,NULL,Not Binary,255,0,0
12/04/2020,18/04/2020,NULL,Women,1008,23,0
19/04/2020,25/04/2020,0-19,Men,5925,359,0
19/04/2020,25/04/2020,0-19,Not Binary,90,0,0
19/04/2020,25/04/2020,0-19,Women,4853,321,0
19/04/2020,25/04/2020,20-24,Men,3792,103,0
19/04/2020,25/04/2020,20-24,Not Binary,0,0,0
19/04/2020,25/04/2020,20-24,Women,3230,117,0
19/04/2020,25/04/2020,25-29,Men,3418,74,0
19/04/2020,25/04/2020,25-29,Not Binary,0,0,0
19/04/2020,25/04/2020,25-29,Women,3321,76,0
19/04/2020,25/04/2020,30-34,Men,3044,51,0
19/04/2020,25/04/2020,30-34,Not Binary,0,0,0
19/04/2020,25/04/2020,30-34,Women,2897,47,0
19/04/2020,25/04/2020,35-39,Men,2480,38,0
19/04/2020,25/04/2020,35-39,Not Binary,0,0,0
19/04/2020,25/04/2020,35-39,Women,2593,38,0
19/04/2020,25/04/2020,40-44,Men,2268,39,0
19/04/2020,25/04/2020,40-44,Not Binary,0,0,0
19/04/2020,25/04/2020,40-44,Women,2441,48,0
19/04/2020,25/04/2020,45-49,Men,2098,46,0
19/04/2020,25/04/2020,45-49,Not Binary,0,0,0
19/04/2020,25/04/2020,45-49,Women,2578,54,0
19/04/2020,25/04/2020,50-54,Men,1709,36,0
19/04/2020,25/04/2020,50-54,Not Binary,0,0,0
19/04/2020,25/04/2020,50-54,Women,2441,35,0
19/04/2020,25/04/2020,55-59,Men,1632,25,0
19/04/2020,25/04/2020,55-59,Not Binary,0,0,0
19/04/2020,25/04/2020,55-59,Women,2220,39,0
19/04/2020,25/04/2020,60-64,Men,1510,17,0
19/04/2020,25/04/2020,60-64,Not Binary,0,0,0
19/04/2020,25/04/2020,60-64,Women,1882,20,0
19/04/2020,25/04/2020,65-69,Men,1399,16,0
19/04/2020,25/04/2020,65-69,Not Binary,0,0,0
19/04/2020,25/04/2020,65-69,Women,1482,16,0
19/04/2020,25/04/2020,70-74,Men,1306,0,0
19/04/2020,25/04/2020,70-74,Not Binary,0,0,0
